Test Case,Question,Expected Answer,Bot Response,BLEU Score,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1
183,What is required to open a Limited Company Account at City Bank?,"Required documents include the bank's prescribed Account Opening application form, certified copy of Memorandum & Articles of Association, certificate of incorporation, certificate of commencement of business (for Public Limited Companies), extract of Board resolution sanctioning the account opening, list of directors with addresses, photographs of signatories, copy of valid trade license, and introducer's signature.",I don't have information about opening a Limited Company Account at City Bank. You may want to contact City Bank's customer service or visit their website for more information on account opening procedures.,5.29E-232,0.082191776,0,0.054794516
184,How can eligible persons open a Resident Foreign Currency Deposit (RFCD) Account?,"Eligible persons can open RFCD accounts with any AD in Bangladesh by submitting account opening forms duly filled in, photo, and other necessary papers like copy of passport.","According to the provided context, eligible persons can open a Resident Foreign Currency Deposit (RFCD) Account by submitting account opening forms duly filled in, along with other necessary papers like a copy of passport.",0.346,0.622950815,0.466666662,0.590163929
185,What is a dormant account according to City Bank policy?,"A dormant account is an inactive account. Under City Bank policy, if an account remains inactive for 3 months, it will be considered a dormant account.","There is no mention of ""dormant account"" in the provided context. The document appears to be about City Bank's services and policies, such as cheque books, card services, and remittance, but it does not contain any information about dormant accounts. Therefore, I would recommend contacting City Bank's helpline number (16234) for more information on this topic.",1.04E-231,0.16901408,0,0.140845066
186,Can a dormant account be used for transactions?,"No, if an account becomes dormant, the account holder won't be able to use it for transactions.","No, according to the document, if an account becomes dormant and remains inactive for 3 months, it will not be able to use it for transactions. To activate a dormant account, the account holder needs to follow a process that involves filling up a form, submitting it to the bank, and waiting for 2-3 days for the account to be reactivated.",0.1515,0.482758617,0.297297294,0.482758617
187,What is the process to reactivate a dormant account?,"The account holder needs to visit the mother branch, fill out a dormant account reactivation form, sign and submit it to the customer service officer. After verification, the request is sent to the head office through a centralized system. It takes 2 to 3 days to reactivate the account.","According to the document, the process to reactivate a dormant account is as follows:

1. The account holder needs to come to the mother branch.
2. Fill up a form named ""dormant account reactivation"".
3. Sign and submit the form to the customer service officer.
4. The customer service officer will verify the signature and send the request to the head office through a centralized system.
5. It takes 2-3 days for the account to be reactivated after the request is sent.
6. Once the account is reactivated, the account holder can transact with it.

Note: To get more information or confirm this process, you may want to contact the bank's helpline number at 16234.",0.1572,0.495726491,0.31788079,0.478632474
188,Are there any charges for reactivating a dormant account?,"Yes, charges are applicable to reactivate dormant accounts.","Yes, there are charges for reactivating a dormant account. According to the document, it takes 2-3 days to reactivate an account after submitting the dormant account reactivation form, and ""To active dormant accounts charges are applicable.""",4.66E-155,0.432432429,0.190476188,0.324324321
189,Who is a nominee in a bank account?,"A nominee is the authorized person on behalf of the account holder. After the death or in similar cases, the nominee will have the right to take decisions regarding that account.","A nominee in a bank account is the person who is authorized to take any kind of decision regarding that account, typically after the death or any such cases.",2.93E-78,0.588235289,0.206896547,0.392156858
190,What is the process for changing a nominee for an existing account?,"The customer needs to visit the mother branch, fill out a nominee change form, provide one copy of the nominee's photograph, and sign the form. The form is submitted to the responsible officer who verifies the information. The process takes 2 to 3 days.","According to the provided context, to change the nominee of an existing account, the customer needs to:

1. Come to the mother branch of the account.
2. Fill up a form named ""nominee change form"".
3. Provide one copy of the nominee's photograph.
4. Sign the form indicating that they want to change their account's nominee.
5. Submit the files to the responsible officer.
6. Wait for verification and signing by the responsible person, which takes 2-3 days.

If you need to know more or have further questions, you can contact City Bank's helpline number: 16234.",0.0656,0.366972473,0.150375935,0.311926601
191,How can an account holder change their signature on an existing account?,"The account holder must fill out the signature change form and submit it to the customer service department. The officer verifies the signature and information with photograph change. In some cases, a new photograph is required if the previous one doesn't match. The process takes 2 to 3 days.","According to the document, to change the signature on an existing account, the account holder has to fill up a form named ""Signature Change Form"" and then submit it to the customer service department. The customer service officer will verify the information with the photograph change, and in some cases, the account holder may need to provide a new photograph of their own if the previous one does not match with the present one. This process takes 2-3 days.",0.1728,0.618556696,0.283333329,0.59793814
192,Is the process for address change the same as for signature change?,"The process is similar, but for address change, the account holder needs to provide additional proof of the new address.","No, the process for address change is almost the same as for signature and name changes, but it is not exactly the same. For address change, the account holder needs to provide their NID, which must match with their present address, before they can change the address.",0.1674,0.44444444,0.249999996,0.370370366
193,What happens if the photograph of an account holder doesn't match during a signature change request?,"If the previous photograph doesn't match with the present photograph, the account holder needs to provide a new photograph.","If the photograph of an account holder doesn't match during a signature change request, they need to provide a photograph of their own.",3.20E-78,0.555555551,0.256410251,0.44444444
194,How long does the nominee change process take?,The nominee change process takes 2 to 3 days.,"According to the context, the nominee change process takes 2 to 3 days.",0.5594,0.799999995,0.699999995,0.799999995
195,Can a non-resident Bangladeshi open an account at City Bank?,"Yes, non-resident Bangladeshis can open Private FC/NFCD accounts by sending necessary papers/documents from abroad duly verified by Bangladesh mission abroad or a reputable bank or any other person known to the AD in Bangladesh.","According to the provided context, yes, a non-resident Bangladeshi can open an account at City Bank. In fact, the document mentions that ""Persons residing abroad interested to open Private FC/NFCD accounts can open account by sending necessary papers/documents from abroad duly verified by Bangladesh mission abroad or a reputable bank or any other person known to the AD in Bangladesh.""",0.4544,0.727272723,0.637362633,0.727272723
196,Is a job certificate mandatory for opening an FC account by Bangladesh nationals residing abroad?,"No, submission of job certificate/certificate evidencing having business abroad is not mandatory for opening FC account by Bangladesh nationals residing abroad.","No, a job certificate is not mandatory for opening an FC account by Bangladesh nationals residing abroad.",0.4629,0.756756752,0.555555551,0.756756752
197,What investment opportunities are available for non-resident Bangladeshis through City Bank?,"Non-resident Bangladeshis can invest in US Dollar Premium Bond, US Dollar Investment Bond, Treasury Bond of Bangladesh Government, shares/securities listed in stock exchanges through NITA Account, and Wage Earners' Development Bond in Taka.","I don't have information on specific investment opportunities available for non-resident Bangladeshis through City Bank. However, I can suggest contacting the bank's helpline number, which is 16234, for more details and guidance on available options.",1.06E-231,0.13793103,0,0.13793103
198,What happens after submitting the dormant account reactivation form?,"After submission, the customer service officer verifies the signature and sends the request to the head office through a centralized system. It takes 2 to 3 days for the account to be reactivated.","After submitting the dormant account reactivation form, the customer service officer will verify the signature and send the request to the head office through a centralized system. It then takes 2-3 days for the account to be activated, after which the account holder can transact with it.",0.3908,0.646153841,0.519480515,0.646153841
199,Can someone else reactivate a dormant account on behalf of the account holder?,"No, the account holder personally needs to visit the mother branch to reactivate a dormant account.","According to the context, it appears that only the account holder can reactivate their own dormant account. The document does not mention anyone else being able to reactivate a dormant account on behalf of the account holder.

Therefore, the answer is: No, someone else cannot reactivate a dormant account on behalf of the account holder.",0.0701,0.340425528,0.210526312,0.297872336
200,What types of accounts can become dormant at City Bank?,Any account that remains inactive for 3 months can become dormant according to City Bank policy.,"Based on the provided context, it appears that only depositary accounts can become dormant at City Bank. The text mentions ""account becomes dormant then account holder won’t be able to use it for transactions"" and provides a process for reactivating a dormant account. There is no mention of other types of accounts becoming dormant.",1.24E-78,0.295081963,0.088235291,0.262295078
201,What details must be filled in the dormant account reactivation form?,"The form requires the account holder's details, account information, reason for inactivity, and signature.","The question cannot be answered based on the provided context, as it specifically asks for details that must be filled in the dormant account reactivation form. The context only mentions the existence of such a form, but does not provide any information about its contents.

Therefore, I will follow your suggestion and say:

To find out what details must be filled in the dormant account reactivation form, please contact City Bank's helpline number: 16234",9.72E-232,0.164383559,0,0.109589038
202,Which branch should the account holder visit to reactivate a dormant account?,The account holder must visit the mother branch where the account was initially opened.,"According to the context, the account holder needs to come to the ""mother branch"" to reactivate a dormant account.",5.83E-155,0.239999995,0.133333328,0.239999995
203,Are there any specific documents required for reactivating a dormant account?,The account holder needs to fill out and sign the dormant account reactivation form. Additional identification documents may be required for verification purposes.,"According to the context, yes, there are specific documents required for reactivating a dormant account. The document mentioned is:

* ""dormant account reactivation"" form that needs to be filled up and signed by the account holder.

Additionally, it's recommended to contact the bank's helpline number (16234) if you're unsure about the process or requirements.",4.51E-155,0.37681159,0.106666663,0.318840575
204,What verification process does the bank follow for dormant account reactivation?,The customer service officer verifies the account holder's signature against their records before forwarding the reactivation request to the head office.,"According to the document, the verification process for dormant account reactivation involves:

1. The account holder coming to their mother branch.
2. Filling up a form named ""dormant account reactivation"".
3. Signing and submitting the form to the customer service officer.
4. Verification of the signature by the customer service officer.
5. Sending the request to the head office through a centralized system for reactivation.
6. Waiting for 2-3 days for the account to be reactivated.

If you want more information or clarification, you can contact the bank's helpline number: 16234",0.0377,0.309523806,0.13333333,0.214285711
205,Can an account holder request expedited reactivation of a dormant account?,"The standard process takes 2 to 3 days, and there's no mention of an expedited process in the document.","I don't have information on whether an account holder can request expedited reactivation of a dormant account. To find out, I recommend contacting City Bank's customer service officer at their helpline number: 16234.",1.00E-231,0.122448975,0,0.081632648
206,Can a dormant account be reactivated online or through phone banking?,"No, the account holder must physically visit the mother branch to fill out and submit the dormant account reactivation form.","I don't have information on whether a dormant account can be reactivated online or through phone banking. The context provided only mentions that account reactivation requires visiting the ""mother branch"" and filling out a form, which involves signature verification by a customer service officer and then sending a request to the head office for activation.",4.16E-155,0.212121208,0.054794517,0.151515148
207,Does the bank notify the customer once their dormant account is reactivated?,"The document doesn't specify if notifications are sent, but customers need to wait 2 to 3 days for the reactivation to be processed.","The document does not mention whether the bank notifies the customer once their dormant account is reactivated. To find out, I would recommend contacting the bank's helpline number: 16234.",3.68E-155,0.124999995,0.039999995,0.124999995
208,What happens to the funds in a dormant account?,The funds remain in the account but cannot be accessed for transactions until the account is reactivated.,"The text does not specify what happens to the funds in a dormant account. According to the provided information, if an account remains inactive for 3 months, it becomes dormant and the account holder won't be able to use it for transactions. However, the text does not mention what happens to the funds in such accounts.

To find out what happens to the funds in a dormant account, I would recommend contacting the bank's helpline number: 16234.",2.95E-155,0.249999996,0.052631576,0.187499996
209,Is there a time limit for reactivating a dormant account?,The document doesn't specify any time limit for reactivating a dormant account.,"According to the provided context, there is no specific time limit mentioned for reactivating a dormant account. It takes 2 to 3 days to reactivate an account after submitting the request to the head office through a centralized system.",0.1016,0.318181814,0.20833333,0.318181814
210,Can a dormant account be closed without reactivation?,"The document doesn't specifically address this, but typically, account closure would require reactivation first.","Based on the provided context, there is no mention of an account being able to be closed without reactivation. In fact, it states that ""account holder won't be able to use it for transactions"" if the account becomes dormant, and later mentions that ""In case of Joint A/C, the applicant for closing the A/C should be signed by all the joint holders"", implying a requirement for authorization from all joint holders.

Therefore, based on the information provided, I would say that a dormant account cannot be closed without reactivation. 

However, if you need to confirm this or have further questions, you can contact the bank's helpline number 16234 for assistance.",6.69E-232,0.063829785,0,0.063829785
211,What is the definition of 'inactive' that leads to an account becoming dormant?,"The document doesn't specify what constitutes 'inactive,' only that an account inactive for 3 months becomes dormant.","The document doesn't explicitly define what it means for an account to be 'inactive'. However, it does mention that if a remittance remains inactive for 3 months, then the account will be considered dormant. If you need further clarification on this definition, I suggest contacting City Bank's customer service at 16234.",2.10E-78,0.343749996,0.151515148,0.343749996
212,What happens if an account holder doesn't reactivate their dormant account for years?,The document doesn't address the long-term implications of not reactivating dormant accounts.,"The context does not provide information on what happens if an account holder doesn't reactivate their dormant account for years. According to the provided text, if an account remains inactive for 3 months, it becomes a dormant account and the customer won't be able to use it for transactions. However, there is no mention of long-term inactivity or any specific consequences that would occur after a certain period of time (e.g., years) if the account holder fails to reactivate it.

If you need further clarification or information on this topic, I recommend contacting the bank's helpline number: 16234.",9.42E-232,0.159090907,0,0.136363634
213,Does the bank send notifications before an account becomes dormant?,The document doesn't mention any notification system for accounts approaching dormant status.,"The context doesn't mention anything about the bank sending notifications before an account becomes dormant. It only mentions that if an account remains inactive for 3 months, it will be considered a dormant account and the customer won't be able to use it for transactions. To get more information on this topic, you can contact the bank's helpline number: 16234.",2.89E-155,0.158730156,0.028985505,0.158730156
214,Can joint account holders individually request dormant account reactivation?,The document doesn't specifically address joint accounts in relation to dormant account reactivation.,"The provided context does not mention anything about joint account holders being able to individually request dormant account reactivation. It only mentions that account holders need to come to the mother branch and fill up a form named ""dormant account reactivation"" to reactivate their accounts, along with signing and submitting it to the customer service officer.",1.13E-78,0.203389827,0.061538459,0.203389827
215,Are there any fees for maintaining a dormant account?,The document mentions charges for reactivating dormant accounts but doesn't specify if there are fees for maintaining dormant accounts.,"The question doesn't have enough information to determine if there are any specific fees for maintaining a dormant account. To get that information, it would be best to contact the bank using their helpline number: 16234.",2.47E-78,0.352941172,0.153846149,0.352941172
216,What identification is required when visiting the branch to reactivate a dormant account?,"While not explicitly stated, standard banking procedures would require proper identification such as a government-issued ID.","The question can't be answered based on the provided context. The text does not specify what identification is required when visiting the branch to reactivate a dormant account. It only mentions that account holders need to come to the mother branch, fill up a form, and submit it to the customer service officer.",8.89E-232,0.099999996,0,0.099999996
217,Can an account become dormant even if it has a recurring deposit or standing instruction?,"The document doesn't provide this specific information, only stating that accounts inactive for 3 months become dormant.","Based on the provided context, there is no mention of how accounts are affected by recurring deposits or standing instructions in terms of becoming dormant. The text only discusses the conditions under which an account becomes inactive (after 3 months without activity) and the process for reactivating a dormant account. Therefore, I couldn't find any information on whether having a recurring deposit or standing instruction would prevent an account from becoming dormant.

To answer your question, I would recommend contacting the bank's helpline number: 16234, as they may be able to provide more specific information on this matter.",2.75E-155,0.229166664,0.018348621,0.187499997
218,What happens to scheduled payments or direct debits from an account that becomes dormant?,"The document states that dormant accounts cannot be used for transactions, which would likely include scheduled payments or direct debits.","I don't have information about what happens to scheduled payments or direct debits from an account that becomes dormant. To find out, I would recommend contacting City Bank's customer service at their helpline number: 16234.",0.0732,0.296296292,0.150943392,0.222222218
219,Does the dormancy status affect linked services like debit cards or internet banking?,"The document indicates that dormant accounts cannot be used for transactions, which would likely affect linked services.","The context provided does not explicitly state how the dormancy status affects linked services such as debit cards or internet banking. To find out this information, I would recommend contacting the bank's helpline number: 16234.",9.86E-232,0.156862741,0.039999996,0.156862741
220,Is there a minimum balance requirement to reactivate a dormant account?,The document doesn't mention any minimum balance requirement for reactivation.,"The provided context does not mention a minimum balance requirement for reactivating a dormant account. It only mentions that ""For transactions customer needs go to the branch where he or she had opened that account and with certain process account can be active again."" and that ""To active dormant accounts charges are applicable."", but it doesn't specify any balance requirements.",0.045,0.253968251,0.085714283,0.253968251
221,What is the role of the head office in the dormant account reactivation process?,The head office processes the reactivation request sent through the centralized system after initial verification by the branch.,"According to the provided context, the role of the head office in the dormant account reactivation process is that they will receive and verify the request for account reactivation through a centralized system after being sent by the customer service officer. No specific information about their direct involvement in the process is available.",1.69E-78,0.379310341,0.121212117,0.344827582
222,Can a power of attorney holder reactivate a dormant account?,The document doesn't specifically address whether power of attorney holders can reactivate dormant accounts.,"I don't have any information about a power of attorney holder being able to reactivate a dormant account. To find out if a power of attorney holder can reactivate a dormant account, I recommend contacting City Bank's helpline number: 16234.",1.61E-78,0.272727268,0.130434779,0.272727268
223,What information does the bank verify before reactivating a dormant account?,The bank verifies the account holder's signature and possibly other identifying information before reactivating the account.,The bank verifies the signature of the account holder on the dormant account reactivation form submitted by the customer service officer.,0.1405,0.387096769,0.235294113,0.387096769
224,Is reactivation of a dormant account a one-time process?,"The document doesn't specify, but logically, an account could become dormant again if it remains inactive for 3 months after reactivation.","The answer to your question is not explicitly stated in the provided context. The context only describes the process for reactivating a dormant account, but it does not mention whether this is a one-time process or if there are additional steps required after reactivation.

If you would like to know more about this, I suggest contacting the bank's helpline number: 16234",3.23E-155,0.219178078,0.024999996,0.136986297
225,Are there any additional security measures for dormant account reactivation compared to regular transactions?,The document mentions signature verification but doesn't specify if there are additional security measures beyond standard procedures.,"The context does not provide information on additional security measures specifically for dormant account reactivation. It only mentions that ""To active dormant accounts charges are applicable"", which implies a fee but does not specify any additional security measures beyond what regular transactions might require. 

Therefore, if you need to know more about the specific security measures in place for dormant account reactivation, you would be advised to contact the bank's helpline number: 16234.",0.0389,0.263157891,0.073170729,0.236842102
226,Can a dormant account be reactivated if the account holder has lost their original identification documents?,The document doesn't address this specific scenario.,"Based on the provided context, I don't have enough information to provide a direct answer to your question. However, I can suggest that you contact the bank's helpline number (16234) for assistance with reactivating a dormant account if the account holder has lost their original identification documents. The context provides information about the activation process of dormant accounts, but it does not specify how to handle situations where identification documents are missing.",6.25E-232,0.029850744,0,0.029850744
227,Is there a difference in the dormant account policy for different types of accounts (savings vs. current)?,The document doesn't specify different dormancy policies for different account types.,"No, the provided context does not mention any differences in the dormant account policy for different types of accounts (savings vs. current). It only provides information about the general process for reactivating a dormant account. If you need more specific information, I suggest contacting the bank's helpline number: 16234",2.82E-155,0.150943393,0.035087716,0.150943393
228,Are there any exceptions to the 3-month inactivity rule for dormant accounts?,No exceptions to the 3-month inactivity rule are mentioned in the document.,"I don't have information about any exceptions to the 3-month inactivity rule for dormant accounts. The provided context only mentions that if an account remains inactive for 3 months, it will be considered a dormant account and the account holder won't be able to use it for transactions. It doesn't provide any details on possible exceptions or waivers. To get more information, I would recommend contacting the bank's helpline number: 16234.",0.0651,0.173913041,0.123456788,0.173913041
229,Does the bank perform any periodic review of dormant accounts?,The document doesn't mention any periodic review process for dormant accounts.,"The question does not explicitly mention that the bank performs a periodic review of dormant accounts. However, it does mention that if an account remains inactive for 3 months, it will be considered as a dormant account and the customer won't be able to use it for transactions. It also mentions that in order to activate a dormant account, the customer needs to fill up a form named ""dormant account reactivation"" and submit it to the customer service officer, which implies some level of review or check on the account before activation.

Therefore, based on the provided context, it is not possible to say with certainty whether the bank performs any periodic review of dormant accounts. If you need further clarification, it would be best to contact the bank's helpline number: 16234.",6.98E-79,0.164948452,0.046153845,0.164948452
230,What happens to interest accrual on dormant savings accounts?,The document doesn't address interest accrual on dormant accounts.,"I don't have information about what happens to interest accrual on dormant savings accounts. If you need to know, I suggest contacting the bank's helpline number 16234 for assistance.",0.0852,0.277777774,0.166666663,0.277777774
231,Can an account holder with a dormant account open a new account without reactivating the dormant one?,The document doesn't address this specific scenario.,"No, according to the document, if an account becomes dormant (remains inactive for 3 months), it will be considered as a dormant account and the account holder won't be able to use it for transactions. However, the document does not explicitly state that an account holder with a dormant account cannot open a new account without reactivating the dormant one.

But based on the information provided about the process of reactivating a dormant account (4.1.2), it seems like there might be some overlap or possibility in opening a new account while the old one is still dormant, but this information isn't explicitly stated as a no.",6.75E-232,0.05063291,0,0.05063291
232,Is there a special form for address change requests at City Bank?,"The document mentions that address change follows almost the same process as other changes, implying there is a specific form for address changes.","There is no information about an address change request form in the provided context. The context only discusses various banking processes such as opening a new account, loan application, and remittances, but it does not mention anything about address changes. If you need to know more about addressing address change requests at City Bank, I suggest contacting their helpline number: 16234",4.06E-155,0.23376623,0.049382712,0.181818178
233,What verification does the bank perform for address change requests?,"While not explicitly detailed, the document mentions that for address change, account holders need to provide proof of the new address.","The bank performs the following verification for an address change request:

1. The account holder needs to provide their NID, which must match their present address.
2. After submitting the form and providing the necessary documents, the remaining process follows the same protocol as other changes (filling up a form, submitting it to the customer service department, etc.).

Note that this information is not explicitly stated in the provided text, but rather inferred from the description of the process for changing addresses, which differs slightly from the processes for changing signatures and names.",3.80E-155,0.217391301,0.054054051,0.195652171
234,How long does the address change process take?,The document doesn't specify the exact timeframe for address changes but mentions that processes like signature change take 2 to 3 days.,"I don't have the specific information on how long the address change process takes. To find out, I recommend contacting the City Bank's helpline number: 16234.",1.06E-231,0.133333328,0,0.133333328
235,Can an account holder request both a signature and address change simultaneously?,"The document doesn't address this specific scenario, but since both processes exist, it's likely possible to request both changes.","Based on the provided context, I don't have enough information to determine if an account holder can request both a signature and address change simultaneously. The process for name changes seems similar in many aspects but has a different requirement for address changes involving NID verification. Without further details or clarification from the bank's policies, I would suggest contacting the bank's helpline number 16234 for more information.",2.86E-155,0.186666663,0.024096382,0.159999996
236,Is there a limit to how many times an account holder can change their address?,The document doesn't mention any limitations on address changes.,"I don't have information on the specific policy of City Bank Limited regarding address changes for existing customers. If you'd like to know this information, I recommend contacting the bank's customer service department directly via their helpline number: 16234.",8.67E-232,0.130434779,0.043478258,0.130434779
237,Does changing the account address affect any linked services or communications?,The document doesn't address the impact of address changes on linked services.,"The context does not provide information on how changing an account address affects linked services or communications. Therefore, I cannot provide a direct answer to this question.

If you need to know more about this, I recommend contacting the bank's customer service through their helpline number: 16234. They will be able to provide you with the most up-to-date and accurate information regarding changes to an account address and any potential impact on linked services or communications.",2.89E-155,0.231884055,0.049382714,0.173913041
238,What types of address proof are acceptable for an address change request?,The document doesn't specify what types of address proof are acceptable.,"I don't have information on the acceptable address proof for an address change request in this context. According to the provided text, for address change, the account holder needs to provide their NID, which must match with their present address. If this is not possible, they need to provide a photograph of themselves. However, it does not specify what types of documents or proofs are acceptable as an alternative. To get more information, I recommend contacting the bank's helpline number: 16234.",0.0344,0.213333331,0.112359549,0.213333331
239,Can an account holder update their email address or phone number through the same process as physical address changes?,The document doesn't specifically address email or phone number updates.,"The context provided does not mention updating email addresses or phone numbers. It only talks about changing accounts nominees, signatures, and addresses.

However, according to the information given for signature changes and name changes (including address changes), if an account holder needs to update their email address or phone number, it's not explicitly stated as being part of the same process as physical address changes. 

To find out whether an account holder can update their email address or phone number through the same process as physical address changes, you would need to contact the bank's helpline number: 16234",7.35E-79,0.153846152,0.043010751,0.153846152
240,Is an introducer required for changing an address on an existing account?,The document doesn't mention introducer requirements for address changes.,"I don't have information about changing an address on an existing account, so I recommend contacting the bank's helpline number: 16234.",8.51E-232,0.071428567,0,0.071428567
241,Are there any charges for changing an address on an existing account?,The document doesn't mention any charges for address changes.,"The provided context does not explicitly mention whether there are any charges for changing an address on an existing account. However, based on the information about the signature change process (4.4), it can be inferred that the NID must match with the present address to facilitate the address change process.

If you need clarification or confirmation regarding any specific fees associated with address changes, I recommend contacting City Bank's helpline number: 16234.",9.29E-79,0.173913041,0.05063291,0.173913041
242,Can address changes be requested online or must they be done in person?,The document implies that address changes must be done in person as it references filling out forms at the branch.,"The context does not mention whether address changes can be requested online or if they must be done in person. However, it does provide a contact method for further information: calling the bank's helpline number, which is 16234.",0.0798,0.357142853,0.178571424,0.357142853
243,Does the bank send confirmation after processing an address change request?,The document doesn't mention whether confirmations are sent after processing address changes.,"The provided context does not mention anything about the bank sending a confirmation after processing an address change request. However, it does mention that for name change, account holder needs to fill up a form and submit it to the customer service department, which then verifies the information with photograph, but it does not explicitly state if they send any kind of confirmation.

Therefore, I would recommend contacting the bank's helpline number 16234 for more information about their process.",2.52E-155,0.131578945,0.022988504,0.131578945
244,What happens if mail sent to a previous address is returned to the bank?,The document doesn't address this scenario.,"I don't have any information in the provided context about what happens if mail sent to a previous address is returned to the bank. The context only talks about account changes, remittances, and account closures, but not about returned mail or addresses. Therefore, I would recommend contacting the bank's helpline number 16234 for assistance.",7.99E-232,0.079999998,0,0.079999998
245,Can a non-resident account holder change their address?,The document doesn't specifically address address changes for non-resident account holders.,"No, I don't have information on that specific topic. You should contact City Bank's helpline number at 16234 for more information.",8.51E-232,0.066666662,0,0.066666662
246,Is there a cooling-off period between successive address changes?,The document doesn't mention any cooling-off period between address changes.,"No, it does not appear that there is a cooling-off period between successive address changes. According to the provided context, for an address change, the account holder needs to provide the NID, which must match their present address, and then fill up a form and submit it to the customer service department. The process also takes 2-3 days.",1.21E-78,0.203389828,0.09230769,0.203389828
247,Can joint account holders individually request address changes?,The document doesn't address address changes for joint accounts specifically.,"Based on the context, it doesn't seem that joint account holders can individually request address changes. The text states: ""In case of Joint A/C, the applicant for closing the A/C should be signed by all the joint holders."" There is no mention of individual account holders being able to request an address change, except possibly in cases where a NID needs to be matched with the present address (not explicitly stating that it's only for one of the joint holders).",9.53E-232,0.169014082,0.022988504,0.169014082
248,What is the process for updating multiple accounts if an account holder has several accounts at City Bank?,The document doesn't specify if a single address change request applies to all accounts or if separate requests are needed.,"The provided context only discusses the general processes and requirements for various banking services such as loan documentation, cheque book preparation, card issuance, and remittance, but it does not mention a process for updating multiple accounts. Therefore, I am unable to provide an answer to this question based on the given context.

If you need assistance with updating multiple accounts, I suggest contacting City Bank's customer service or helpline number: 16234.",8.88E-232,0.121951216,0,0.121951216
249,Does the bank require periodic address verification or updates?,The document doesn't mention any requirements for periodic address verification.,"Yes, according to section 4.3 of the document, for signature change, account holder needs to provide a photograph of his or her own if the previous photograph is not match with the present photograph. Additionally, for address change, account holder needs to provide the NID (National ID) which has to match with his present address.

If you need more information or clarification, please contact the bank's helpline number: 16234",7.52E-232,0.068965514,0,0.068965514
250,What happens if an account holder fails to update their address after relocation?,The document doesn't address the consequences of not updating address information.,"The text does not provide information on what happens if an account holder fails to update their address after relocation. It only mentions that for address change, account holders need to provide the NID, which has to match with their present address, and then they can update the address.

If you're looking for further clarification or instructions on what to do in this situation, I recommend contacting the bank's helpline number: 16234.",9.35E-232,0.147058821,0,0.147058821
251,Can corporate accounts request address changes through the same process?,The document doesn't specifically address address changes for corporate accounts.,"The provided context does not mention anything about corporate accounts requesting address changes. It only mentions personal account holders being able to change their addresses, and it doesn't specify if this process applies to corporate accounts or not.

Therefore, I cannot provide a definitive answer to the question. To get more information on whether corporate accounts can request address changes through the same process, I would recommend contacting the bank's helpline number: 16234.",2.74E-155,0.171428569,0.051282049,0.114285712
252,Is the address change process different for different types of accounts?,The document doesn't indicate different processes for different account types.,"The question does not provide information on whether the address change process is different for different types of accounts. The provided context only discusses the general process of signature change and account closure, but it does not specify any differences in address change processes based on account type. Therefore, I would recommend contacting the bank's helpline number (16234) to inquire about their specific procedures and policies regarding address changes for different account types.",0.0356,0.190476188,0.076923075,0.190476188
253,What is the process for signature change at City Bank?,"The account holder must fill out the signature change form and submit it to the customer service department. The officer verifies the signature and information. In some cases, a new photograph is required if the previous one doesn't match. The process takes 2 to 3 days.","I don't have any information about the process for signature change at City Bank from the provided context. The document doesn't mention anything about signature changes or procedures related to it. 

If you need information on this topic, I recommend contacting City Bank's helpline number: 16234. They will be able to provide you with the most up-to-date and accurate information.",3.67E-155,0.227272722,0.019417471,0.20454545
254,Can signature changes be requested online or through phone banking?,"No, the process described requires filling out physical forms at the branch.","I don't have information on whether signature changes can be requested online or through phone banking. To find out, I recommend contacting the bank's helpline number: 16234.",7.99E-232,0.05405405,0,0.05405405
255,What verification does the bank perform for signature change requests?,The customer service officer verifies the existing signature and photograph before processing the change.,"The provided context doesn't mention anything about verification for signature change requests. It only talks about the general process of opening a new account and obtaining necessary documents, but it doesn't specifically address signature change requests. 

If you're looking for information on verifying signatures for signature change requests, I recommend contacting the bank's helpline number: 16234.",9.96E-232,0.169491522,0,0.169491522
256,How long does the signature change process take?,The signature change process takes 2 to 3 days.,The signature change process takes 2 to 3 days.,1,0.999999995,0.999999995,0.999999995
257,Is there a limit to how many times an account holder can change their signature?,The document doesn't mention any limitations on signature changes.,"I don't have information on the specific limit for changing a signature, so I recommend contacting the bank's helpline number (16234) for more details.",8.23E-232,0.066666662,0,0.066666662
